path,candidate_transport,has_transport,has_information,has_return_cell,has_receipt,has_admitted
artifacts/json/g900_six_nine_final_pair_identity_set_anatomy_066.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_final_quotient_miss_anatomy_063.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_fork_plateau_checkpoint_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_foundation_packet_context_contrast_010.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_foundation_packet_origin_selector_008.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_from_limit_23_source_audit_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_half_turn_witness_probe_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_inside6_gap_phase_origin_law_028.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_inside6_two_faced_hinge_cell_law_026.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_inside_outside_return_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_six_nine_ladder_schema_guided_source_derivation_audit_004.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_ladder_schema_microscope_003.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_limit_transition_23_24_boundary_probe_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_local_global_obstruction_probe_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_native_anchor_asymmetry_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_six_nine_native_fork_law_probe_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_six_nine_normalized_diff_anatomy_061.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_normalized_union_overlap_060.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_null_well_summit_flag_067.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_obstruction_anatomy_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_one_row_correction_probe_058.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_orientation_law_candidate_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_orientation_provenance_nonlabel_audit_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_orphan_branch_test_065.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_orphan_pair_identity_recovery_064.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_package_support_field_law_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_pair_identity_summit_flag_067.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_remaining_360_phase_inside_strata_020.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_remaining_360_source_variable_scout_019.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_residual_360_after_phase3_anatomy_021.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_residual_360_manual_row_microscope_022.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_residual_360_packet_shape_collapse_023.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_residual_shape_upstream_provenance_024.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_residual_two_shape_local_cell_provenance_025.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_return_home_receipt_ledger_068.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_return_span_carrier_variable_scout_014.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_return_span_class_audit_013.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_return_span_gap_family_anatomy_015.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_return_span_source_variable_anatomy_016.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_rowlevel_union_candidate_scout_053.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_sheet_wrap_candidate_inspection_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_shell_scale_origin_hypothesis_012.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_construction_contrast_filter_034.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_address_handle_039.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_address_material_selector_040.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_derivation_plateau_checkpoint_011.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_source_geometry_packet_derivation_006.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_packet_parser_repair_007.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_signature_origin_038.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_surplus_context_anatomy_041.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_geometry_surplus_foundation_echo_042.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_source_like_endpoint_contrast_inspection_033.v1.json,False,True,False,False,True,True
